auc_score,case_id,criterion,family,final_loss,final_minus_wstar,late_score,lr,method,runs,score,wstar_loss,wstar_status
-2.669462718605764,hard_copy,late,copy_am,0.008084218642899522,,0.03080974716229359,0.749894209332,signgd_const,1,0.03080974716229359,,skipped_definitely_no_finite_optimum
1.8104722251932601,soft_copy_05,auc,copy_am,5.761674381381114,0.5740924463444106,5.902785750977359,,gd_ls,1,1.8104722251932601,5.187581935036704,approximate
1.6863445400607813,soft_copy_05,auc,copy_am,5.297305175045592,0.10972324000888811,5.319505153276345,,muon_ls,1,1.6863445400607813,5.187581935036704,approximate
1.6575462122818518,soft_copy_05,auc,copy_am,5.173025895017636,-0.01455604001906785,5.175163774613522,,h0_ls,1,1.6575462122818518,5.187581935036704,approximate
1.7890469390814343,soft_copy_05,auc,copy_am,5.633796352291667,0.44621441725496336,5.774271034022955,,signgd_ls,1,1.7890469390814343,5.187581935036704,approximate
1.7954498957066067,soft_copy_05,auc,copy_am,5.597590210594327,0.4100082755576233,5.803920193094304,237.13737056616557,gd_const,1,1.7954498957066067,5.187581935036704,approximate
1.7970998260354893,soft_copy_05,auc,copy_am,5.742855207042162,0.5552732720054578,5.811274549451629,10.0,ngd_const,1,1.7970998260354893,5.187581935036704,approximate
1.7021271595547318,soft_copy_05,auc,copy_am,5.29567975114657,0.1080978161098658,5.318515282973275,0.7498942093324559,muon_const,1,1.7021271595547318,5.187581935036704,approximate
1.6602900469434165,soft_copy_05,auc,copy_am,5.173117819975713,-0.014464115060991212,5.175561200928189,0.03162277660168379,h0_const,1,1.6602900469434165,5.187581935036704,approximate
1.8001419372501652,soft_copy_05,auc,copy_am,5.756222433729684,0.5686404986929805,5.819844269176521,0.0177827941004,signgd_const,1,1.8001419372501652,5.187581935036704,approximate
1.8104722251932601,soft_copy_05,late,copy_am,5.761674381381114,0.5740924463444106,5.902785750977359,,gd_ls,1,5.902785750977359,5.187581935036704,approximate
1.6863445400607813,soft_copy_05,late,copy_am,5.297305175045592,0.10972324000888811,5.319505153276345,,muon_ls,1,5.319505153276345,5.187581935036704,approximate
1.6575462122818518,soft_copy_05,late,copy_am,5.173025895017636,-0.01455604001906785,5.175163774613522,,h0_ls,1,5.175163774613522,5.187581935036704,approximate
