run,eval_loss,eval_acc,eval_full_vocab_acc,eval_margin,eval_head_acc,eval_tail_acc,step,variant,train_scope,d_model,n_heads,seq_len,n_q,n_k,n_v,m,optimizer,lr,muon_lr,seed,elapsed_s,params_total,params_trainable,prompt_len,train_episodes,train_tokens,eval_episodes_per_eval,random_baseline,spec_group,spec_label,spec_variant,spec_train_scope,spec_optimizer,spec_lr,spec_seed,spec_seq_len,spec_d_model,spec_steps
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.918386459350586,0.115234375,0.115234375,-1.7601325511932373,0.109375,0.125,1500,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,12.54198360000737,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.840080976486206,0.150390625,0.150390625,-1.6533336639404297,0.1796875,0.109375,1750,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,14.696442999877036,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.841010808944702,0.16796875,0.16796875,-1.670562505722046,0.109375,0.1953125,2000,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,16.906339699868113,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.904125928878784,0.1328125,0.1328125,-1.7731997966766355,0.1484375,0.1015625,2250,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,18.878585200058296,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.9300334453582764,0.12890625,0.12890625,-1.7928404808044434,0.1484375,0.1484375,2500,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,21.034078700002283,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,6.732556819915772,0.140625,0.0,-0.1893266439437866,0.109375,0.1796875,0,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,0.3286729999817908,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,5.499978542327881,0.17578125,0.130859375,-0.7380862236022949,0.2109375,0.15625,250,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,2.5576142000500117,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,4.716286659240723,0.14453125,0.119140625,-1.0568299293518066,0.1015625,0.1640625,500,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,4.596258600009605,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,4.276460647583008,0.142578125,0.12109375,-1.35748028755188,0.171875,0.140625,750,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,6.575352699961513,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
arch_1l_attn_seq16_d64_adamw_lr0p001_seed0,3.977904081344605,0.13671875,0.115234375,-1.6031396389007568,0.171875,0.1328125,1000,one_layer_attn,all,64,4,16,128,128,512,7,adamw,0.001,0.02,0,8.557924299966544,71104,71104,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,64,2500
